receipt_id,lineData
25001,Chin Wan Logic PTE LTD
25001,"10 UBI CRESCENT, #04-07"
25001,"UBI TECHPARK, SINGAPORE 408564"
25001,=====================================
25001,30/06/2016 17:15  T001     201603301
25001,ORDER:       C002946
25001,Cashier: 001
25001,--------------------------------------
25001,1      Carrot Cake                2.50
25001,----------------------------------
25001,TOTAL        2.50
25001,CASH                          2.50
25001,CHANGE         0.00
25001,====================================
25001,Thank You and
25001,See You Again!
25002,COQ SEAFOOD
25002,NO.6 KIM TIAN ROAD
25002,SINGAPORE 169246
25002,RESERVATION NUMBER: +65 6276 6609
25002,WEBSITE: WWW.COQNBALLS.COM
25002,RSVP EMAIL: COQ@COQNBALLS.COM
25002,=====================================
25002,01/07/2016 15:16       Bill: A000212
25002,Table:     Waiter: kenny
25002,======================================
25002,1      GRILLED AUSTRALIA ANGU    29.00
25002,----------------------------------
25002,TOTAL       29.00
25002,CASH                         29.00
25002,CHANGE         0.00
25002,Signature:__________________________
25002,Thank you & see you again soon!
25003,COQ SEAFOOD
25003,NO.6 KIM TIAN ROAD
25003,SINGAPORE 169246
25003,RESERVATION NUMBER: +65 6276 6609
25003,WEBSITE: WWW.COQNBALLS.COM
25003,RSVP EMAIL: COQ@COQNBALLS.COM
25003,=====================================
25003,01/07/2016 15:55       Bill: A000213
25003,Table:     Waiter: kenny
25003,======================================
25003,1      SAUSAGE WRAPPED WITH B    10.00
25003,1      ESCARGOT WITH GARLIC H    12.00
25003,1      PAN SEARED FOIE GRAS      15.00
25003,1      SAUTE FIELD MUSHROOM W     9.00
25003,1      CRISPY CHICKEN WINGS       7.00
25003,1      ONION RINGS                6.00
25003,----------------------------------
25003,TOTAL       59.00
25003,CASH                         59.00
25003,CHANGE         0.00
25003,Signature:__________________________
25003,Thank you & see you again soon!
25006,Chin Wan Logic PTE LTD
25006,"10 UBI CRESCENT, #04-07"
25006,"UBI TECHPARK, SINGAPORE 408564"
25006,=====================================
25006,04/07/2016 10:40  T001     201603301
25006,ORDER:       C002947
25006,Cashier: 001
25006,--------------------------------------
25006,1      Beer                       3.00
25006,----------------------------------
25006,TOTAL        3.00
25006,CASH                          3.00
25006,CHANGE         0.00
25006,====================================
25006,Thank You and
25006,See You Again!
25007,Chin Wan Logic PTE LTD
25007,"10 UBI CRESCENT, #04-07"
25007,"UBI TECHPARK, SINGAPORE 408564"
25007,=====================================
25007,04/07/2016 10:40  T001     201603301
25007,ORDER:       C002948
25007,Cashier: 001
25007,--------------------------------------
25007,1      Carrot Cake                2.50
